"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","17","0","","0"
"0","SWS API","0","","5","0","","0"
"0","Reqres API","0","Resource Endpoint","5","0","GET /api/resources?page=1","0"
"0","GoRest API","0","","8","0","","0"
"0","Reqres API","0","Users Endpoint","2","0","POST /api/login","0"
"0","Reqres API","0","Users Endpoint","4","0","GET /api/users?page=1","0"
"0","Reqres API","0","Users Endpoint","1","0","PUT /api/users/{id}","0"
"0","Reqres API","0","Users Endpoint","1","0","PATCH /api/users/{id}","0"
"0","Reqres API","0","Users Endpoint","1","0","DELETE /api/users/{id}","0"
"0","Reqres API","0","Users Endpoint","2","0","POST /api/register","0"
"0","Reqres API","0","Users Endpoint","1","0","POST /api/users","0"
"0","Reqres API","0","Resource Endpoint","1","0","GET /api/resources/1","0"
"0","Reqres API","0","Users Endpoint","1","0","GET /api/users/23","0"
"0","Reqres API","0","Users Endpoint","1","0","GET /api/users?delay=3","0"
"0","Reqres API","0","Resource Endpoint","2","0","GET /api/resources/23","0"
"0","Reqres API","0","Users Endpoint","1","0","GET /api/users/1","0"
"0","Reqres API","0","Users Endpoint","1","0","GET /api/users","0"
