"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1139","testNegativeLoginIncorrectPassword","Selenium Store Tests","Thu Jun 26 10:05:38 CEST 2025","passed","Thu Jun 26 10:05:39 CEST 2025","seleniumTests.tests.LoginTest","UI Store tests","seleniumTests.tests.LoginTest","testNegativeLoginIncorrectPassword"
"","1167","testNegativeLoginIncorrectEmail","Selenium Store Tests","Thu Jun 26 10:05:35 CEST 2025","passed","Thu Jun 26 10:05:36 CEST 2025","seleniumTests.tests.LoginTest","UI Store tests","seleniumTests.tests.LoginTest","testNegativeLoginIncorrectEmail"
"","1114","testSearchBar","Selenium Store Tests","Thu Jun 26 10:05:30 CEST 2025","passed","Thu Jun 26 10:05:31 CEST 2025","seleniumTests.tests.TestProductsPageMethods","UI Store tests","seleniumTests.tests.TestProductsPageMethods","testSearchBar"
"","44","testHeaderIsPresent","Selenium Store Tests","Thu Jun 26 10:05:37 CEST 2025","passed","Thu Jun 26 10:05:37 CEST 2025","seleniumTests.tests.TestHomePage","UI Store tests","seleniumTests.tests.TestHomePage","testHeaderIsPresent"
"","683","Verify the user is successfully updated with patch method","GoRestAPITestSuite","Thu Jun 26 10:05:22 CEST 2025","passed","Thu Jun 26 10:05:22 CEST 2025","restAssuredTests.gorest.tests.TestGoRest","GoRestAPI","restAssuredTests.gorest.tests.TestGoRest","shouldUpdateUserNameSuccessfully"
"","15263","Request a delayed user list response","RegressAPITestSuite","Thu Jun 26 10:05:01 CEST 2025","passed","Thu Jun 26 10:05:16 CEST 2025","restAssuredTests.regres.tests.TestUsersMethods","RegressAPI","restAssuredTests.regres.tests.TestUsersMethods","shouldGetDelayedResponse"
"","20","Validate email format for all users on page","RegressAPITestSuite","Thu Jun 26 10:05:18 CEST 2025","passed","Thu Jun 26 10:05:18 CEST 2025","restAssuredTests.regres.tests.TestUsersMethods","RegressAPI","restAssuredTests.regres.tests.TestUsersMethods","shouldValidateMailHasCorrectFormat"
"","66","testNavBarIsPresent","Selenium Store Tests","Thu Jun 26 10:05:38 CEST 2025","passed","Thu Jun 26 10:05:39 CEST 2025","seleniumTests.tests.TestHomePage","UI Store tests","seleniumTests.tests.TestHomePage","testNavBarIsPresent"
"","247","Fully update a user with new name and job","RegressAPITestSuite","Thu Jun 26 10:05:18 CEST 2025","passed","Thu Jun 26 10:05:18 CEST 2025","restAssuredTests.regres.tests.TestUsersMethods","RegressAPI","restAssuredTests.regres.tests.TestUsersMethods","shouldUpdateUser"
"","334","Verify a correct user is returned","GoRestAPITestSuite","Thu Jun 26 10:05:20 CEST 2025","passed","Thu Jun 26 10:05:21 CEST 2025","restAssuredTests.gorest.tests.TestGoRest","GoRestAPI","restAssuredTests.gorest.tests.TestGoRest","shouldReturnCorrectUserNameAfterCreation"
"","7","Verify expected top-level JSON keys exist","RegressAPITestSuite","Thu Jun 26 10:05:18 CEST 2025","passed","Thu Jun 26 10:05:18 CEST 2025","restAssuredTests.regres.tests.TestUsersMethods","RegressAPI","restAssuredTests.regres.tests.TestUsersMethods","shouldVerifyJSONContainsExpectedKeys"
"","713","shouldCreateUserTodo","GoRestAPITestSuite","Thu Jun 26 10:05:20 CEST 2025","passed","Thu Jun 26 10:05:20 CEST 2025","restAssuredTests.gorest.tests.TestGoRest","GoRestAPI","restAssuredTests.gorest.tests.TestGoRest","shouldCreateUserTodo"
"","386","shouldCreateUserPostComment","GoRestAPITestSuite","Thu Jun 26 10:05:22 CEST 2025","passed","Thu Jun 26 10:05:23 CEST 2025","restAssuredTests.gorest.tests.TestGoRest","GoRestAPI","restAssuredTests.gorest.tests.TestGoRest","shouldCreateUserPostComment"
"","769","Verify user post is created","GoRestAPITestSuite","Thu Jun 26 10:05:19 CEST 2025","passed","Thu Jun 26 10:05:20 CEST 2025","restAssuredTests.gorest.tests.TestGoRest","GoRestAPI","restAssuredTests.gorest.tests.TestGoRest","shouldCreateUserPost"
"","270","Check that list of users has expected size","RegressAPITestSuite","Thu Jun 26 10:05:17 CEST 2025","passed","Thu Jun 26 10:05:17 CEST 2025","restAssuredTests.regres.tests.TestUsersMethods","RegressAPI","restAssuredTests.regres.tests.TestUsersMethods","shouldReturnListOfUsers"
